Time,Huaxian,Xianyang,Zhangjiashan
1969/11,3.633984,2.4830496,0.80915328
1969/12,1.5822432,1.460592,0.04590432
1970/01,1.3116384,1.146528,0.04122144
1970/02,1.3533696,1.2567744,0.1027728
1970/03,2.4817536,1.9579968,0.37072512
1970/04,5.057856,3.988224,0.41267232
1970/05,8.859456,6.310224,1.03518432
1970/06,7.090416,4.6149696,0.7306848
1970/07,5.59882368,4.1478048,1.1969424
1970/08,15.8523264,9.542448,8.03192544
1970/09,23.935392,14.328576,4.2511392
1970/10,13.112928,7.46064,2.080512
1970/11,5.507136,3.1910976,1.19232
1970/12,2.2660128,1.9237824,0.17505504
1971/01,1.4779584,1.3483584,0.0465264
1971/02,1.7967744,1.4377824,0.14144544
1971/03,2.792448,1.8121536,0.56455488
1971/04,4.848336,3.0849984,0.6630768
1971/05,7.401888,4.307472,0.9062928
1971/06,3.623616,2.7258336,0.52843968
1971/07,5.38056,4.2296256,0.5260032
1971/08,2.541456,0.5262624,2.2158576
1971/09,2.3937984,1.2887424,0.71711136
1971/10,4.968,3.1638816,0.36112608
1971/11,4.669056,2.5485408,0.7579872
1971/12,1.6654464,1.3427424,0.0597456
1972/01,0.7170336,0.8344512,0.047304
1972/02,1.7214336,1.1235456,0.0938736
1972/03,3.4380288,1.7052768,0.37930464
1972/04,3.4807104,2.2462272,0.18118944
1972/05,2.448144,1.8144864,0.26970624
1972/06,2.8792368,1.8454176,0.19386432
1972/07,4.9073472,3.7442304,0.61436448
1972/08,0.4777488,0.820368,0.3692736
1972/09,6.018624,3.7474272,0.67289184
1972/10,1.9122912,1.1280384,0.04681152
1972/11,2.3497344,1.1202624,0.3058992
1972/12,0.6346944,0.5870016,0.04392576
1973/01,0.4962816,0.552528,0.0450576
1973/02,0.5723136,0.3812832,0.0419904
1973/03,0.1308096,0.16810848,0.0543456
1973/04,2.36262528,1.51308,0.17276544
1973/05,7.071408,4.524768,0.6706368
1973/06,1.29848832,1.19390976,0.20863872
1973/07,3.57788448,1.2617856,1.99399104
1973/08,12.22138368,7.01843616,7.86359232
1973/09,14.474592,6.295104,2.6005536
1973/10,15.702336,9.38304,2.4889248
1973/11,4.0381632,2.4426144,0.5647968
1973/12,0.376704,0.6334848,0.04770144
1974/01,0.6522336,0.5075136,0.0403488
1974/02,1.1048832,0.5966784,0.05717952
1974/03,1.50984,0.815616,0.18121536
1974/04,1.9437408,1.035072,0.13203648
1974/05,6.4101024,3.8850624,0.85387392
1974/06,1.2365568,0.7954848,0.05092416
1974/07,1.91608416,0.50494752,1.54721664
1974/08,2.9170368,0.26637984,1.45342944
1974/09,10.8826848,5.52459744,1.30974624
1974/10,12.369024,6.52752,1.586304
1974/11,5.609088,2.59416,1.02165408
1974/12,2.4938496,1.097712,0.126792
1975/01,1.2237696,0.6364224,0.04392576
1975/02,0.9584352,0.5616,0.0447552
1975/03,0.5276016,0.520128,0.05990976
1975/04,2.0288016,0.963792,0.29647296
1975/05,6.656256,3.7301472,0.9803808
1975/06,1.28101824,1.0150272,0.05789664
1975/07,9.972288,5.8746816,3.23954208
1975/08,4.899312,2.8458432,1.19632896
1975/09,24.7567104,16.0343712,5.57082144
1975/10,38.571552,24.985152,5.66784
1975/11,12.642048,9.059904,2.8739232
1975/12,6.1128,4.214592,0.83961792
1976/01,2.9463264,2.3581152,0.08832672
1976/02,3.463344,1.9506528,0.88372512
1976/03,4.359744,2.5231392,0.6943968
1976/04,5.5078272,3.4617888,0.48797856
1976/05,5.552928,3.0070656,0.8293536
1976/06,2.3880096,1.7784576,0.3468096
1976/07,1.1846304,0.77307264,0.46679328
1976/08,22.95126144,15.73221312,5.67344736
1976/09,20.810304,13.596768,5.1839136
1976/10,8.392032,5.224608,1.6082496
1976/11,3.84912,2.0638368,0.7099056
1976/12,1.1860992,0.9040896,0.12435552
1977/01,2.0304864,1.3082688,0.29496096
1977/02,2.016144,1.246752,0.33365088
1977/03,1.0361088,0.6382368,0.20763648
1977/04,2.5758864,1.2984192,0.33498144
1977/05,5.193504,3.2871744,0.6242832
1977/06,1.24187904,0.7289568,0.45099936
1977/07,11.75796,7.0141248,5.48584704
1977/08,3.9159072,1.1208672,2.3365584
1977/09,2.7541728,1.1428128,1.40461344
1977/10,0.7699968,0.5636304,0.19764
1977/11,3.1184352,1.4970528,0.849744
1977/12,0.7959168,0.6365088,0.08090496
1978/01,0.448416,0.4370976,0.05731776
1978/02,0.41573952,0.3134592,0.08954496
1978/03,0.34651584,0.2934144,0.08354016
1978/04,0.24784704,0.2080512,0.05422464
1978/05,0.90072,0.997272,0.314928
1978/06,2.460672,1.3585536,0.70422048
1978/07,20.067264,11.4668352,5.477328
1978/08,3.728592,2.0087136,1.30015584
1978/09,12.6974304,9.058176,2.0219328
1978/10,6.548256,4.625856,0.9754128
1978/11,4.269888,2.5683264,0.79145856
